
   INFO  Server running on [http://0.0.0.0:8055].  

  Press Ctrl+C to stop the server

  2025-04-14 08:14:07 /api/login ................................. ~ 500.23ms
  2025-04-14 08:14:07 /api/login ....................................... ~ 1s
  2025-04-14 08:14:12 /api/login ................................... ~ 0.07ms
  2025-04-14 08:14:12 /api/login ................................. ~ 500.26ms
  2025-04-14 08:14:12 /api/dashboard/indicadores ................... ~ 0.03ms
  2025-04-14 08:14:12 /api/dashboard/indicadores ................... ~ 0.18ms
  2025-04-14 08:14:12 /api/dashboard/indicadores ................. ~ 905.28ms
  2025-04-14 08:14:13 /api/dashboard/indicadores ................... ~ 0.05ms
  2025-04-14 08:14:17 /api/clientes .............................. ~ 500.24ms
  2025-04-14 08:14:18 /api/clientes ................................ ~ 0.03ms
  2025-04-14 08:14:23 /api/sap/clients ................................. ~ 1s
  2025-04-14 08:14:32 /api/appliances ............................ ~ 502.39ms
  2025-04-14 08:14:32 /api/appliances ............................ ~ 502.65ms
  2025-04-14 08:14:32 /api/appliances ............................ ~ 500.25ms
  2025-04-14 08:14:33 /api/appliances .............................. ~ 0.03ms
  2025-04-14 08:14:33 /api/sensores ................................ ~ 0.03ms
  2025-04-14 08:14:33 /api/sensores ................................ ~ 0.22ms
  2025-04-14 08:14:33 /api/sensores ................................ ~ 0.02ms
  2025-04-14 08:14:33 /api/sensores ................................ ~ 0.02ms
  2025-04-14 08:14:34 /api/alarmes ................................. ~ 0.08ms
  2025-04-14 08:14:34 /api/alarmes ................................. ~ 0.30ms
  2025-04-14 08:14:34 /api/alarmes ............................... ~ 500.24ms
  2025-04-14 08:14:35 /api/alarmes ................................. ~ 0.03ms
  2025-04-14 08:14:36 /api/alarmes ................................. ~ 0.08ms
  2025-04-14 08:14:36 /api/alarmes ................................. ~ 0.29ms
  2025-04-14 08:14:36 /api/alarmes ................................. ~ 0.02ms
  2025-04-14 08:14:36 /api/alarmes ................................. ~ 0.02ms
  2025-04-14 08:14:37 /api/sensores ................................ ~ 0.07ms
  2025-04-14 08:14:37 /api/sensores ................................ ~ 0.02ms
  2025-04-14 08:14:43 /api/alarmes ................................. ~ 0.07ms
  2025-04-14 08:14:43 /api/alarmes ................................. ~ 0.29ms
  2025-04-14 08:14:43 /api/alarmes ............................... ~ 500.25ms
  2025-04-14 08:14:43 /api/alarmes ................................. ~ 0.03ms
  2025-04-14 08:14:43 /api/appliances .............................. ~ 0.03ms
  2025-04-14 08:14:43 /api/appliances .............................. ~ 0.21ms
  2025-04-14 08:14:43 /api/appliances .............................. ~ 0.02ms
  2025-04-14 08:14:43 /api/appliances .............................. ~ 0.02ms
  2025-04-14 08:14:44 /api/torres .................................. ~ 0.07ms
  2025-04-14 08:14:44 /api/torres .................................. ~ 0.31ms
  2025-04-14 08:14:44 /api/torres .................................. ~ 0.02ms
  2025-04-14 08:14:44 /api/torres .................................. ~ 0.02ms
  2025-04-14 08:14:45 /api/appliances .............................. ~ 0.08ms
  2025-04-14 08:14:45 /api/appliances .............................. ~ 0.28ms
  2025-04-14 08:14:45 /api/appliances .............................. ~ 0.02ms
  2025-04-14 08:14:45 /api/appliances .............................. ~ 0.02ms
  2025-04-14 08:14:45 /api/sensores ................................ ~ 0.07ms
  2025-04-14 08:14:45 /api/sensores ................................ ~ 0.28ms
  2025-04-14 08:14:45 /api/sensores ................................ ~ 0.02ms
  2025-04-14 08:14:45 /api/sensores ................................ ~ 0.02ms
  2025-04-14 08:14:46 /api/alarmes ................................. ~ 0.07ms
  2025-04-14 08:14:46 /api/alarmes ................................. ~ 0.02ms
